isEnable	AbilityID	AbilityName	Description	AbilityType	TargetType	InteractType	AOE	EffectModel	Formula
TRUE	ability_1	Heal 1	เพิ่มพลังชีวิตให้ทหาร	Heal	Self	TouchAndHold	2		{"heal":100}
TRUE	ability_2	Attack 1	โจมตีศัตรูด้วยระเบิด	Attack	Enemy	TouchAndHold	1		{"damage":150}
TRUE	ability_3	Debuff	ลดพลังโจมตีศัตรู	Debuff	Enemy	TouchAndHold	1		{"debuff":{"atkdamage":-0.2,"atkspeed":-0.2,"hp":-0.2,"movespeed":-0.2},"duration":10,"stack":true}
TRUE	ability_4	Buff 1	เพิ่ิ่มความเร็วโจมตีให้ทหาร	Buff	Self	TouchAndHold	1		{"buff":{"atkspeed":0.5},"duration":10,"stack":true}
TRUE	ability_5	Buff 2	เพิ่มพลัังโจมตีให้ทหาร	Buff	Self	TouchAndHold	1		{"buff":{"atkdamage":0.5},"duration":10,"stack":true}
TRUE	ability_6	Shield	ใส่เกาะป้องกันให้ทหาร	Shield	Self	TouchAndHold	1		{"defend":500,"duration":10}
TRUE	ability_7	Heal 2		Heal	Self	TouchAndHold	1		{"heal":200}
TRUE	ability_8	Attack 2		Attack	Enemy	TouchAndHold	1		{"damage":100}
TRUE	ability_9	Attack 3		Attack	Enemy	TouchAndHold	1		{"damage":200}
TRUE	ability_10	Attack 4		Attack	Enemy	TouchAndHold	1		{"damage":300}
