isEnable	ID	Description (For dev)	MemoKey	Values	LevelUnlock	Rewards	Formula
TRUE	acm_mvp_perfectwin	Gain MVP Perfect Win	mvp_PerfectWin	20	0	[{ "type": "Resource", "currency": "CO", "value": 500 },{ "type": "Resource", "currency": "CO", "value": 1000 }, { "type": "Resource", "currency": "CO", "value": 1500 }]	
TRUE	acm_mvp_arsenal	Gain MVP Annihilation	mvp_Arsenal	20	0	[{ "type": "Resource", "currency": "CO", "value": 500 },{ "type": "Resource", "currency": "CO", "value": 1000 }, { "type": "Resource", "currency": "CO", "value": 1500 }]	
TRUE	acm_mvp_hawkeye	Gain MVP Hawk Eye	mvp_HawkEye	20	0	[{ "type": "Resource", "currency": "CO", "value": 500 },{ "type": "Resource", "currency": "CO", "value": 1000 }, { "type": "Resource", "currency": "CO", "value": 1500 }]	
TRUE	acm_mvp_activist	Gain MVP Activist	mvp_Activist	20	0	[{ "type": "Resource", "currency": "CO", "value": 500 },{ "type": "Resource", "currency": "CO", "value": 1000 }, { "type": "Resource", "currency": "CO", "value": 1500 }]	
TRUE	acm_mvp_hunter	Gain MVP Hunter	mvp_Hunter	20	0	[{ "type": "Resource", "currency": "CO", "value": 500 },{ "type": "Resource", "currency": "CO", "value": 1000 }, { "type": "Resource", "currency": "CO", "value": 1500 }]	
TRUE	acm_mvp_deep	Gain MVP Deep	mvp_Deep	20	0	[{ "type": "Resource", "currency": "CO", "value": 500 },{ "type": "Resource", "currency": "CO", "value": 1000 }, { "type": "Resource", "currency": "CO", "value": 1500 }]	
TRUE	acm_mvp_noob	Gain MVP Loser	mvp_Noob	20	0	[{ "type": "Resource", "currency": "CO", "value": 50 },{ "type": "Resource", "currency": "CO", "value": 100 }, { "type": "Resource", "currency": "CO", "value": 150 }]	
FALSE	acm_win	I'm the Winner!	Win	5,20,100	0	[{ "type": "Resource", "currency": "CO", "value": 1000 }]	
TRUE	acm_win_duel	The Winner of Duel	Win_mode_duel	25	0	[{ "type": "Resource", "currency": "CO", "value": 1000 }]	
TRUE	acm_win_ffa	The Winner of Free For All	Win_mode_ffa	25	0	[{ "type": "Resource", "currency": "CO", "value": 1000 }]	
TRUE	acm_lose	Lost but Keep Fighting	Lose	25	0	[{ "type": "Resource", "currency": "CO", "value": 500 }]	
