isEnable	ActionID	Name	Description	ActionEffect	ActionType	ActionTargetType	ActionLenght	TargetArea	Value	RecyclePoint	Formula	Percent	Dropbys	Model	Anim	Weapon	CombatStyle	Define	isShow
TRUE	act_idle	Supply	Water bottle for every bug! Keep them hydrated and give energy charge.	Supplies	Buff	Onlyme	area:'single'	area:'single'	3	0		0	block	energySupplies	hidden		none		FALSE
TRUE	act_0	Machete	Ordinary knife for melee attack or destroy an obstacle. Handle with care and don’t cut yourself!	Sword	Atk	All	area:'around',min:-1,max:1	area:'single'	1	1	hitstone:true,cut:true	35	block	sword-machete	knife	machete	around_random	shottarget	TRUE
TRUE	act_5	Shovel	Ordinary shovel, but work fine. Use it to dig for destroying a block around you. May help you hinder enemy plans!	Dig	Atk	All	area:'around',min:0,max:1	area:'single'	0	1	hitstone:true,bonuspercent:18,bonuscount:2	35	block	dig	dig		around_action		TRUE
TRUE	act_10	Missile Gun	Tiny missile gun for long range attack, but be careful because your location is going to be revealed to other players.	Missile	Atk	Enemy	area:'around',min:0,max:4	area:'single'	1	1	hitstone:true	15	block	bomb-missile	rocket	rocket	follow	shottarget,fire	TRUE
TRUE	act_13	Lightning Control	Lightning remote controller. Make a lightning strikes anywhere you want. No one will know where it comes from, how awesome!	Thunder	Atk	All	area:'around',min:0,max:15	area:'single'	1	1		10	block	lightning	hidden		around_focus	shottarget	FALSE
TRUE	act_12	Grenade	This hand grenade will cause widespread damage in the area you select. Don’t throw it close to your block.	Grenade	Atk	All	area:'around',min:1,max:2	area:'around',min:-1,max:1	1	1	hitstone:true	8	block	bomb-grenade	toss		follow	shottarget,fire	TRUE
TRUE	act_16	RKG-3	A bottle? Nope, it's a bomb! You can throw it really far and cause widespread damage randomly.	RKG	Atk	All	area:'around',min:1,max:5	area:'single'	1	1	hitstone:true,splitcount:3,range:[0/2],splitmodel:'bomb-rkg-split'	7	block	bomb-rkg	toss		follow	shottarget,fire	TRUE
TRUE	act_15	Airstrike	Drop bombs anywhere you want and cause widespread damage to your enemies. So don’t drop those bombs on yourself!	Airstrike	Atk	All	area:'around',min:0,max:15	area:'around',min:-1,max:1	1	1	hitstone:true	4	block	bomb-airstrike	hidden		around_sky	shottarget,fire	FALSE
TRUE	act_2	Bugs Scanner	Scan any area to see if there any bug wondering around there. No one would know who use this item!	Scanner	Atk	Enemy	area:'around',min:0,max:15	area:'around',min:-1,max:1	0	1		10	block	scaner	hidden		none		FALSE
TRUE	act_1	Baseball Bat	Looking for trouble? Swing this baseball bat around to hit everyone around you.	Baseball	Atk	Enemy	area:'single'	area:'around',min:0,max:1	1	1	hitstone:true	20	block	baseball	baseball	baseball	around_action		TRUE
