BlockID	Name	Description	BlockType	BlockEffect	Formula	isEnable
block_0	Empty	Empty	Empty	notmove		TRUE
block_1	Grass	พื้นหญ้าสูงชัน เหมาะแก่การอำพรางและหลบซ่อนตัว การเลือกอาศัยในพื้นที่หญ้าสูงเป็นทางเลือกที่ดีเสมอกับทุกสถานการณ์	Grass	hide		TRUE
block_8	Dry Grass	พื้นหญ้าสูงชัน เหมาะแก่การอำพรางและหลบซ่อนตัว การเลือกอาศัยในพื้นที่หญ้าสูงเป็นทางเลือกที่ดีเสมอกับทุกสถานการณ์	Grass	hide		TRUE
block_7	Lawn	พื้นสนามโล่งแจ้ง ทำให้เปิดเผยตำแหน่งแก่ศัตรู แต่หากเพียงโดนฝนเล็กน้อยก็จะเติบโตเป็นพื้นที่หญ้าสูงชัน	Lawn	none		TRUE
block_9	Dry Lawn	พื้นสนามโล่งแจ้ง ทำให้เปิดเผยตำแหน่งแก่ศัตรู แต่หากเพียงโดนฝนเล็กน้อยก็จะเติบโตเป็นพื้นที่หญ้าสูงชัน	Lawn	none		TRUE
block_2	Ground	พื้นดินโล่งแจ้ง ทำให้เปิดเผยตำแหน่งแก่ศัตรู จึงไม่เป็นมิตรสำหรับเหล่าแมลงและอาจตกเป็นเป้าโจมดีได้	Sand	none		TRUE
block_5	Rock	พื้นหินที่แข็งแรงมั่นคง ไม่มีความเสียหายจากอาวุธใดๆจะทำลายมันลงได้	Rock	rock		TRUE
block_3	Quicksand	พื้นที่ี่ทราบดูดบั่นทอนพละกำลังในการเคลื่อนที่ทำให้ไม่สามารถเคลื่อนที่ได้ถนัดและยากกว่าปกติ	Quicksand	quicksand	buffID:'bf_b_0'	TRUE
block_4	Pond	พื้นที่หนองน้ำเหมาะแก่การหลบหนีจากการไล่ล่าที่อันตราย น้ำสามารถดับไฟที่ก่อให้เกิดอันตรายได้ การอาศัยอยู่ในน้ำจะไม่สามารถโจมตีผู้อยู่อาศัยบนบกได้ เช่นเดียวกับศัตรูบนบกก็ไม่สามารถโจมตีลงบนพื้นฯ้ำได้เช่นกัน	Pond	pond	buffID:'bf_b_1'	TRUE
block_6	Smoke	ควันที่ปกคลุมทำให้สูญเสียทัศนวิสัย	Smoke	smoke	buffID:'bf_3'	TRUE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
						FALSE
