BuffID	Name	Description	Model	BuffEffect	Addition	Formula	isSystem	isEnable
bf_0	Barrier	Protect you from all damage!	armor-shield	barrier	Positive		FALSE	TRUE
bf_1	Speed	Expand walking area		speed	Positive	area:'around',min:0,max:2	FALSE	TRUE
bf_2	Poison	Cannot use all action items and abilities (ใช้กับการติดพิษ เพราะมีEffectม่วงๆติดตัว)	armor-silent	silent	Negative 	duration:1	FALSE	TRUE
bf_3	Silent	Cannot use all action items and abilities (ใช้กับควันหรืออื่นๆ)		silent	Negative 	duration:1	FALSE	TRUE
bf_4	Leaf Armor	Protect you from all damage! 1 round turn	armor-leaf	leafarmor	Positive	duration:1	FALSE	TRUE
bf_5	Speed Cross	Expand walking area		speed	Positive	area:'cross',min:0,max:20,damage:0	FALSE	TRUE
bf_6	Hunt	คุณกำลังถูกทำเครื่องหมายให้ตกเป็นผู้ถูกล่า	hunt-head	hunt	Negative 	duration:2	FALSE	TRUE
bf_7	Beer	อยู่ในสภาวะเมาจากแอลกอฮอ ทำให้การเคลื่อนที่ผิดปกติ	beer-head	beer	Negative 	duration:1	FALSE	TRUE
bf_8	Honey 	เพิ่มพลังงานทุกเทริน		energybooster	Positive	duration:4,value:2	FALSE	TRUE
bf_9	Absorb Armor	ดูดทรัพอาวุธที่ใช้โจมตีแก่ผู้ส่วมเกาะ	armor-absorb	absorb	Positive	duration:2	FALSE	TRUE
bf_10	Prison	ถูกกักขัง ไม่สามารถเดินได้	armor-prison	prison	Negative 	duration:1	FALSE	TRUE
bf_11	Web	ถูกกักขัง ไม่สามารถเดินได้	armor-web	prison	Negative 	duration:1	FALSE	TRUE
bf_12	Counter Spray	พร้อมตอบโต้สวนกลับการโจมตี	counter-spray	counter	Negative 	actionID:'act_wp_0'	FALSE	TRUE
bf_13	Dizzy	ตาลายยิงออกไปแล้วทำให้เป้าหมายผิดพลาด	armor-poisonous-mushrooms	dizzy	Negative 	duration:2	FALSE	TRUE
bf_14	Stun		stun	stun	Negative 	duration:1	FALSE	TRUE
bf_15	PerfectBarrier	Protect you from all damage!	armor-perfect-shield	barrier	Positive	perfectarmor:true,duration:1	FALSE	TRUE
bf_16	Fly		armor-fly	fly	Positive		FALSE	TRUE
bf_17	Voodoo		armor-voodoodoll	voodoo	Negative 	duration:2	FALSE	TRUE
bf_b_0	QuickSand	อาศัยอยู่ในพื้นที่ทรายดูด		walkingspace	Negative 	value:0.5	TRUE	TRUE
bf_b_1	Pond	อาศัยอยู่ในพื้นที่น้ำ		actionspacetype	None	blockID:'block_4'	TRUE	TRUE
