Key	isEnable	Formula
divice_limit_quality	TRUE	{ "CPU_mamory_minimum":2048, "GPU_mamory_minimum":1024 }
player	TRUE	{     "max_lv": 50 }
bot_join	TRUE	{     "permission": "public",     "firsttime_add": 6.00,     "time_addbot_min": 1.0,     "time_addbot_max": 4.0,     "percent_spawn_bot_inroom": 35 }
bot_logic	TRUE	{"dump":[100,0,0],"normal":[0,60,40],"hard":[0,20,80],"angry_random_atk_start":[30,0],"angry_random_atk_percount":[10,0],"player_lv_to_hard":5,"nearflag":[35,65],"ignore_flag_border":[50,100],"cutout_oldstay":[70,100],"canstay_border":[50,70]}
timing	TRUE	{     "time_refreshupdate_waitingroom": 1,     "timeout_arena_loading": 45,     "timeout_add_percent_another_turnplaying": 0.1 }
jigsaw_recycle_rate	TRUE	{     "common_start": 30,     "common_plus": 10,     "uncommon_start": 100,     "uncommon_plus": 15,     "rare_start": 250,     "rare_plus": 25,     "character_already":600 }
rank_rate	TRUE	{     "max":4000,     "bronze":0,     "silver":500,     "gold":1600,     "platinum":2500,     "daimond":3200,     "master":3800 }
endgamereward	TRUE	{ "blessing_downrate_exp":0.3, "blessing_downrate_characterexp":0.5, "blessing_downrate_coin":0.3, "blessing_downramount_gift":1, "blessing_downramount_gem":3,     "giftcoin_playend": 3,     "giftcoin_win": 2,     "giftcoin_flag": 1,     "reward_percent_coin": 0.012,     "exp_player_cal_rampage": 1000,     "exp_player_cal_gift": 0.1,     "exp_character_cal_rampage": 500,     "exp_character_cal_gift": 0.1,     "rank_winpoint": 0.02,     "rank_losepoint": -0.01,     "rank_losepoint_minimum": 0.25,     "rank_min_win": 2,     "rank_min_lose": -1,     "max_coin": 1000,     "max_exp": 1000,     "max_characterexp": 500,     "max_rank": 100,     "max_giftcoin": 8 }
mvp_rate	FALSE	{}
gacha_rate	FALSE	{     "commonBase": 20,     "uncommonBase": 10,     "rareBase": 5,     "epicBase": 1 }
costume_ability_rate	TRUE	{     "CommounRate": 10,     "CommounValues": "[1/3]",     "UncommounRate": 25,     "UncommounValues": "[2/6]",     "RareRate": 45,     "RareValues": "[4/9]",     "AccessorieRate": 30,     "AccessorieValues": "[1/5]" }
news	TRUE	[ {         "newsID": "news_event_halloween",         "imageURL": "https://trello-attachments.s3.amazonaws.com/5b3d961192ed8d6a6e95134f/5f604e314ce99c5438705c6d/3789839e5ffdd14b3c3e6626b30f3ab1/Supernew.jpg",         "dir": "url",         "pathDir": "https://www.facebook.com/LastBugGame/photos/a.231599081106117/660725624860125/",         "imageRatio": "1200x628",         "isSuperNews":true     },     {         "newsID": "news_commu_discord",         "imageURL": "https://trello-attachments.s3.amazonaws.com/5ee06a1e1b2cc27c12969a50/1200x628/2a4e274bf57033cb22ac4be2088c49ff/JoinUsDiscord-02.jpg",         "dir": "url",         "pathDir": "https://discord.gg/drZxjMZ",         "imageRatio": "16x9",         "header": "The Last Bug Community"     },     {         "newsID": "news_commu_fb",         "imageURL": "https://trello-attachments.s3.amazonaws.com/5ee06a1e1b2cc27c12969a50/1200x628/e446c4ba0652b529773ed27915e52ccb/JoinUsFacebook-01.jpg",         "dir": "url",         "pathDir": "https://www.facebook.com/LastBugGame/",         "imageRatio": "16x9",  "header": "The Last Bug Fanpage"     }, {         "newsID": "news_adventure",         "imageURL": "https://trello-attachments.s3.amazonaws.com/5e43a809078d5d076691e761/1200x1200/bdcb7b4c233df2b6dc9fefa45f97b74d/%5B20-4-2%5D.jpg",         "imageRatio": "1x1",  "header": "Be prepared for an adventure"     } ]
