isEnable	CostumeID	Name	CostumeType	Rarity	Slot	StarValue	CharacterID	PassiveID	PassiveValue	Formula	isAvailable
TRUE	yp_normal	Default	Skin	Common	Skin	0	cha_0		0	isDefault:true	TRUE
TRUE	yp_common_1	Small Seal	Skin	Common	Skin	1	cha_0		0		TRUE
TRUE	yp_common_2	Tortilla	Skin	Common	Skin	1	cha_0		0		TRUE
TRUE	yp_common_3	Tiny Iris	Skin	Common	Skin	1	cha_0		0		TRUE
TRUE	yp_common_4	Camouflage	Skin	Common	Skin	1	cha_0		0		TRUE
TRUE	yp_uncommon_1	Little Boy	Skin	Uncommon	Skin	1	cha_0		0		TRUE
TRUE	yp_uncommon_2	Farmer	Skin	Uncommon	Skin	3	cha_0		0		TRUE
TRUE	yp_uncommon_3	Cool Guy	Skin	Uncommon	Skin	2	cha_0		0		TRUE
TRUE	yp_rare_1	Legendary	Skin	Rare	Skin	3	cha_0		0		TRUE
TRUE	yp_rare_2	Halloween Day	Skin	Rare	Skin	5	cha_0		0		FALSE
TRUE	jm_normal	Default	Skin	Common	Skin	0	cha_1		0	isDefault:true	TRUE
TRUE	jm_common_1	Brick	Skin	Common	Skin	1	cha_1		0		TRUE
TRUE	jm_common_2	Carmine	Skin	Common	Skin	1	cha_1		0		TRUE
TRUE	jm_common_3	Taffy Pink	Skin	Common	Skin	1	cha_1		0		TRUE
TRUE	jm_common_4	Noir	Skin	Common	Skin	1	cha_1		0		TRUE
TRUE	jm_uncommon_1	Healer Maid	Skin	Uncommon	Skin	2	cha_1		0		TRUE
TRUE	jm_uncommon_2	Little Girl	Skin	Uncommon	Skin	3	cha_1		0		TRUE
TRUE	jm_rare_1	Holy Priest	Skin	Rare	Skin	2	cha_1		0		TRUE
TRUE	mk_normal	Default	Skin	Common	Skin	0	cha_2		0	isDefault:true	TRUE
TRUE	mk_common_1	Pumpkin	Skin	Common	Skin	1	cha_2		0		TRUE
TRUE	mk_common_2	Blue Nature	Skin	Common	Skin	1	cha_2		0		TRUE
TRUE	mk_common_3	Crimson	Skin	Common	Skin	1	cha_2		0		TRUE
TRUE	mk_common_4	Ranger	Skin	Common	Skin	3	cha_2		0		TRUE
TRUE	mk_uncommon_1	Firework	Skin	Uncommon	Skin	3	cha_2		0		TRUE
TRUE	mk_uncommon_2	Private	Skin	Uncommon	Skin	3	cha_2		0		TRUE
TRUE	mk_rare_1	True Bloodline	Skin	Rare	Skin	2	cha_2		0		TRUE
TRUE	rk_normal	Default	Skin	Common	Skin	0	cha_3		0	isDefault:true	TRUE
TRUE	rk_common_1	Lava Shadow	Skin	Common	Skin	1	cha_3		0		TRUE
TRUE	rk_common_2	Iron Crocodile	Skin	Common	Skin	2	cha_3		0		TRUE
TRUE	rk_common_3	Star Iris	Skin	Common	Skin	2	cha_3		0		TRUE
TRUE	rk_common_4	Chocolate	Skin	Common	Skin	1	cha_3		0		TRUE
TRUE	rk_uncommon_1	Old Time	Skin	Uncommon	Skin	3	cha_3		0		TRUE
TRUE	rk_uncommon_2	Sky Wing	Skin	Uncommon	Skin	2	cha_3		0		TRUE
TRUE	rk_rare_1	Space	Skin	Rare	Skin	2	cha_3		0		TRUE
TRUE	sp_normal	Default	Skin	Common	Skin	0	cha_4		0	isDefault:true	TRUE
TRUE	sp_common_1	Cinnamon	Skin	Common	Skin	1	cha_4		0		TRUE
TRUE	sp_common_2	Poison	Skin	Common	Skin	2	cha_4		0		TRUE
TRUE	sp_common_3	Monochrome	Skin	Common	Skin	3	cha_4		0		TRUE
TRUE	sp_common_4	Golden Silk	Skin	Common	Skin	2	cha_4		0		TRUE
TRUE	sp_uncommon_1	Blacksmith	Skin	Uncommon	Skin	2	cha_4		0		TRUE
TRUE	sp_uncommon_2	Toy Maker	Skin	Uncommon	Skin	3	cha_4		0		TRUE
TRUE	sp_rare_1	Sp-00D	Skin	Rare	Skin	3	cha_4		0		TRUE
TRUE	kr_normal	Default	Skin	Common	Skin	0	cha_5		0	isDefault:true	TRUE
TRUE	kr_common_1	Cocoa	Skin	Common	Skin	1	cha_5		0		TRUE
TRUE	kr_common_2	Thunder	Skin	Common	Skin	1	cha_5		0		TRUE
TRUE	kr_common_3	Bloody	Skin	Common	Skin	2	cha_5		0		TRUE
TRUE	kr_common_4	Blue Kill	Skin	Common	Skin	2	cha_5		0		TRUE
TRUE	kr_uncommon_1	Death Row	Skin	Uncommon	Skin	3	cha_5		0		TRUE
TRUE	kr_uncommon_2	Killer In Suit	Skin	Uncommon	Skin	3	cha_5		0		TRUE
TRUE	kr_rare_1	Bounty Hunter	Skin	Rare	Skin	1	cha_5		0		TRUE
TRUE	jz_normal	Default	Skin	Common	Skin	0	cha_6		0	isDefault:true	TRUE
TRUE	jz_common_1	Cherry	Skin	Common	Skin	2	cha_6		0		TRUE
TRUE	jz_common_2	Lady in White	Skin	Common	Skin	1	cha_6		0		TRUE
TRUE	jz_common_3	Tropical	Skin	Common	Skin	3	cha_6		0		TRUE
TRUE	jz_common_4	Autumn	Skin	Common	Skin	1	cha_6		0		TRUE
TRUE	jz_uncommon_1	Spite	Skin	Uncommon	Skin	3	cha_6		0		TRUE
TRUE	jz_uncommon_2	Witch	Skin	Uncommon	Skin	2	cha_6		0		TRUE
TRUE	jz_rare_1	Shaman	Skin	Rare	Skin	2	cha_6		0		TRUE
TRUE	jz_rare_2	Halloween Day	Skin	Rare	Skin	5	cha_6		0		FALSE
TRUE	wp_normal	Default	Skin	Common	Skin	0	cha_7		0	isDefault:true	TRUE
TRUE	wp_common_1	Emerald	Skin	Common	Skin	2	cha_7		0		TRUE
TRUE	wp_common_2	Hawk	Skin	Common	Skin	1	cha_7		0		TRUE
TRUE	wp_common_3	Velvet	Skin	Common	Skin	3	cha_7		0		TRUE
TRUE	wp_common_4	Citrus	Skin	Common	Skin	2	cha_7		0		TRUE
TRUE	wp_uncommon_1	Secret Agent	Skin	Uncommon	Skin	3	cha_7		0		TRUE
TRUE	wp_uncommon_2	Wespe Rock	Skin	Uncommon	Skin	2	cha_7		0		TRUE
TRUE	wp_rare_1	Countess	Skin	Rare	Skin	3	cha_7		0		TRUE
TRUE	acc_angel_1	Aura	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_aura_1	Aura	Accessorie	Common	Foot	0	-		0		TRUE
