EnvironmentID	Name	Description (for dev)	SummonType	Model	CallEffect	BlockEffect	OnceInBlock	Formula	Addition	isRampagePoint	isEnable
env_0	Sapling	ต้นอ่อนที่งอกออกมาท่ามกลางสนามแข่งขัน ปิดกั้นทางเดินและพื้นที่แก่เหล่าแชมป์เปี้ยน	natural	Sapling	stone	notmove,unWard	FALSE	itembonus:75,hitDestory:true	None	TRUE	TRUE
env_1	Rock	ก้อนหินขนาดใหญ่ เป็นอุปสรรคในการเคลื่อนที่ ปิดกั้นทางเดินและพื้นที่แก่เหล่าแชมป์เปี้ยน	natural	Rock	stone	notmove,unWard	FALSE	itembonus:75,hitDestory:true	None	TRUE	TRUE
env_2	Log	ข่อนไม้ขนาดใหญ่ เป็นอุปสรรคในการเคลื่อนที่ ปิดกั้นทางเดินและพื้นที่แก่เหล่าแชมป์เปี้ยน	natural	Log	stone	notmove,unWard	FALSE	itembonus:75,hitDestory:true	None	TRUE	TRUE
env_3	Grass	ต้นหญ้า	natural	Grass	none	none	FALSE	hitDestory:true	None	FALSE	TRUE
env_4	Bush	พุ่มไม้หนาที่อยู่บนสนามแข่ง เหมาะแก่การซ่อนตัวแม้จะไม่ใช่พื้นที่หญ้าแต่ก็สามารถช่วยปกปิดและซ่อนตัวให้แก่เหล่าแชมป์เปี้ยนได้	natural	Bush	refuge	none,unWard,hide,unactionmovement	FALSE	hitDestory:true	Positive	TRUE	TRUE
env_5	Ramp	หอคอยสูงสามารถมองเห็นศัตรูทุกคนที่อยู่ในสนามได้ แต่การข้นไปยืนบนหอคอยนั้นจะเปิดเผยตำแหน่งและอาจตกเป็นเป้าสายตา	natural	Ramp	ramp	unhide	FALSE		None	FALSE	TRUE
env_6	Pepsi	ฝาเครื่องดื่มน้ำอัดลมที่แข็งแรง เหมาะแก่การแอบซ่อนตัวนอกจากนั้นยังสามารถป้องกันควาามเสียหายจากอาวุธของศัตรูได้ แต่การอาศัยอยู่ภายในฝานั้นแชมป์เปี้ยนจะไม่สามารถโจมตีออกไปสู่ภายนอกได้เช่นกัน	natural	Pepsi	refuge	unWard,invulnerable,unactionmovement	FALSE	notUseAction:true	Positive	FALSE	TRUE
env_7	Tree 1	ต้นไม้เล็กที่งอกขึ้นมาบนสนามนั้นใช้สำหรับซ่อนตัวจากอันตรายต่างๆได้ นอกจากนั้นยังป้องกันความเสียหายจากอาวุธทุกประเภทได้ ทราบใดที่ต้นไม้ยังยืนยัดอยู่ได้	natural	Tree 1	refuge	unWard,hide,invulnerable,unactionmovement	FALSE	itembonus:75,hitDestory:true	Positive	TRUE	TRUE
env_8	Tree 2	ต้นไม้เล็กที่งอกขึ้นมาบนสนามนั้นใช้สำหรับซ่อนตัวจากอันตรายต่างๆได้ นอกจากนั้นยังป้องกันความเสียหายจากอาวุธทุกประเภทได้ ทราบใดที่ต้นไม้ยังยืนยัดอยู่ได้	natural	Tree 2	refuge	unWard,hide,invulnerable,unactionmovement	FALSE	itembonus:75,hitDestory:true	Positive	TRUE	TRUE
env_9	Bridge	สะพานไม้ สามารถใช้ข้ามไปยังพื้นที่อีกฝั่งได้	natural	Bridge	emptyblock	none	FALSE		None	FALSE	TRUE
env_10	Flytrap 	ต้นไม้กินแมลงเป็นศัตรูตัวฉกาจของเหล่าแมลง เมื่อมีแมลงเข้าไปในรัศมีมันจะสุ่มพื้นที่เข้ากัดกิน สามารถความเสียหายทันทีเมื่อโดนกัด 	natural	Flytrap	flytrap	unWard,notmove	FALSE	range:[0/1],damage:1,hitDestory:true	Negative 	TRUE	TRUE
env_11	Oil	ถังน้ำมันบนฉาก มีความไวต่ออาวุธที่ทำให้เกิดประกายไฟได้ ทำให้เกิดความเสียหายเป็นวงกว้าง	natural	Oil	oil	unWard,notmove	TRUE	environmentID:'env_act_1',hitDestory:true,splitcount:6,range:[0/2],damage:1	Negative 	TRUE	TRUE
env_12	What Box	กล่องปิศนา สิ่งของที่อยู่ภายในยังคงเป็นความลับ	natural	What Box	airdrop	none	TRUE	itemcount:[1/2],hitDestory:true	Positive	TRUE	TRUE
env_flag_0	Flag	ธงแห่งชัยชนะ เป็นเป้าหมายที่ยิ่งใหญ่ของเหล่าแชมป์เปี้ยนทุกคน เพียงเก็บธงแห่งชัยชนะครบ 3 อัน คุณจะเป้นผู้ชนะในเกมทันที	flagwinner	Winner	flagwinner	none	FALSE	energy:3	Positive	FALSE	TRUE
env_act_0	Landmine	กับดักระเบิดที่พร้อมจะทำงานทันทีที่มีใครสักคนหลงเดินเข้ามาเหยียบ มันจะถูกซ่อนเอาไว้จากศัตรู ผู้เป็นเจ้าของเท่านั้นที่จะมองเห็นมันบนสนามรบ	action	Landmine	trap	none	TRUE	trapoption:'landmine',damage:1,hitDestory:true	Negative 	FALSE	TRUE
env_act_1	Firewall	กองไฟที่เกิดจากสะเก็ดระเบิดภายในสนาม เปลี่ยวไฟที่ร้อนมันไม่เป็นมิตรต่อเหล่าแมลง และคงไม่มีใครอยากเห็นเข้าไปไกล้ๆมันแน่นอน	gameactivity	Firewall	firewall	none	TRUE	damage:1,duration:6,rain_id:'gact_7',hitstone:true	Negative 	FALSE	TRUE
env_act_2	TrapSplit	กับดักระเบิดทรงเครื่องรัศมีกว้าง ที่พร้อมจะทำงานทันทีที่มีใครสักคนหลงเดินเข้ามาเหยียบ มันจะถูกซ่อนเอาไว้จากศัตรู ผู้เป็นเจ้าของเท่านั้นที่จะมองเห็นมันบนสนามรบ	action	TrapSplit	trap	none	TRUE	trapoption:'split',damage:1,splitcount:6,range:[0/2],hitDestory:true	Negative 	FALSE	TRUE
env_act_3	Scarecrow	หุ่นไล่กาของชาวนา วางไว้บนสนามรบเพื่อปิดกั้นการเคลื่อนที่ของเหล่าแชมป์เปี้ยน	action	Scarecrow	stone	unWard,notmove	TRUE	hitDestory:true	None	FALSE	TRUE
env_act_4	Sping	จั้มโบ้สปิ้งอันใหญ่ ที่จะทำให้คุณพวยพุ่งไปสู่สถานที่ที่คาดไม่ถึง 	action	Sping	trap	unhide	TRUE	trapoption:'sping',range:[1/5],hitDestory:true	Negative 	FALSE	TRUE
