isEnable	GachaID	Name	Description	AnimStyle	GachaType	Count	Rewards	Request	Formula
TRUE	chest_gift	Rampage Chest	Use Rampage Coin to open it.	gachabox	Chest	3	[{"kind":"specific","rewardType":"Resource","currency":"CO","values":"[100/300]","chance":40,"isOnetime":true},{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[1/5]","value":1,"chance":30,"isOnetime":false},{"kind":"specific","rewardType":"Resource","currency":"JS","values":"[10/30]","chance":10,"isOnetime":true},{"kind":"group","rewardType":"ItemBag","itemType":"Pocket","value":1,"chance":5,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"gacha_pack1","value":1,"chance":1,"isOnetime":false,"isJackpot":true},{"kind":"specific","rewardType":"ItemBag","specificID":"material_8","value":1,"chance":1,"isOnetime":true,"isJackpot":true},{"kind":"specific","rewardType":"ItemBag","specificID":"material_9","value":1,"chance":8,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"character_rent","value":1,"chance":5,"isOnetime":true}]	{     "type": "ItemBag",     "itemBagID": "material_gift",     "value": 6 }	lvunlock:3,chest:'Material',notenoughkey:'notenough_gift',available:true
TRUE	chest_time	Time Chest	Wait the right time to open it.	gachabox	Chest	3	[{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[1/3]","values":"[1/3]","chance":80,"isOnetime":false},{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[4/4]","values":"[1/2]","chance":18,"isOnetime":true}, {"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[5/5]","value":"1","chance":2,"isOnetime":true,"isJackpot":true}]		lvunlock:4,chest:'Time',stackable:2,duration:1800,notenoughkey:'notenough_time',icon:'Time',requestkey:'timestack',onetime:true,available:true
TRUE	chest_winner	Winner Chest	Use Winner Flag to open it.	gachabox	Chest	3	[{"kind":"specific","rewardType":"Resource","currency":"CO","values":"[100/300]","chance":40,"isOnetime":true},{"kind":"specific","rewardType":"Resource","currency":"JS","values":"[30/50]","chance":20,"isOnetime":true},{"kind":"specific","rewardType":"Resource","currency":"GE","values":"[6/12]","chance":8,"isOnetime":true},{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[1/5]","value":1,"chance":30,"isOnetime":false},{"kind":"specific","rewardType":"ItemBag","specificID":"material_8","value":1,"chance":4,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"gacha_pack1","value":1,"chance":4,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"gacha_box4","value":1,"chance":1,"isOnetime":true}]	{     "type": "ItemBag",     "itemBagID": "material_flag",     "value": 8 }	lvunlock:5,chest:'Material',available:true
TRUE	chest_halloween	Halloween Chest	Use Halloween Coin to open it.	gachabox	Chest	1	[{"kind":"specific","rewardType":"Resource","currency":"CO","values":"[100/300]","chance":30},{"kind":"specific","rewardType":"ItemBag","specificID":"material_festival","values":"[1/3]","chance":25,"isOnetime":true,"isJackpot":true},{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[1/3]","values":"[1/3]","chance":45,"isOnetime":false}]	{     "type": "ItemBag",     "itemBagID": "material_halloween",     "value": 3 }	lvunlock:3,chest:'Material',available:true,isFestival:true,specificID:'chest_event'
TRUE	gacha_box1	Wooden Box	Plain wooden box, it is not clear what is inside. But would be normal... If you are lucky, it may be rare items.	gachabox	Gacha	3	[{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[1/4]","value":1,"chance":35,"isOnetime":false},{"kind":"specific","rewardType":"Resource","currency":"JS","values":"[5/30]","chance":15,"isOnetime":true},{"kind":"group","rewardType":"ItemBag","itemType":"Booster","value":1,"chance":0,"chanceX":20,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"character_rent","value":1,"chance":15,"isOnetime":true},{"kind":"group","rewardType":"ItemBag","itemType":"Pocket","value":1,"chance":15,"isOnetime":true}]	{     "type": "ItemBag",     "itemBagID": "gacha_box1",     "value": 1 }	
TRUE	gacha_box2	Military Box	General military box, in the box there are many items. What will be inside!? Try to open is. Hope you are lucky.	gachabox	Gacha	3	[{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[2/5]","values":"[1/3]","chance":100,"isOnetime":false}]	{     "type": "ItemBag",     "itemBagID": "gacha_box2",     "value": 1 }	
TRUE	gacha_box3	Rare Military Box	A strong military box, with many special items, is waiting for you! That cannot be found in the wooden box for sure! You have the opportunity to get more rare items.	gachabox	Gacha	3	[{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[3/5]","values":"[1/3]","chance":22,"isOnetime":true},{"kind":"group","rewardType":"ItemBag","itemType":"Booster","value":1,"chance":0,"chanceX":18,"isOnetime":true},{"kind":"specific","rewardType":"Resource","currency":"JS","values":"[100/300]","chance":15,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"blueprint_recipe","value":1,"chance":0,"chanceX":15,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"finishhim_recipe","value":1,"chance":0,"chanceX":15,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"gacha_pack1","value":1,"chance":10,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"gacha_box4","value":1,"chance":1,"isOnetime":true}]	{     "type": "ItemBag",     "itemBagID": "gacha_box3",     "value": 1 }	
TRUE	gacha_box4	Epic Military Box	The strongest military box, You will find many special items. Rare items are not far away. Open it to make dream come true. Good luck awaits you!	gachabox	Gacha	3	[{"kind":"group","rewardType":"ItemBag","itemType":"Material","rate":"[4/5]","values":"[2/3]","chance":22,"isOnetime":true},{"kind":"specific","rewardType":"Resource","currency":"JS","values":"[200/500]","chance":18,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"blueprint_recipe","value":1,"chance":0,"chanceX":15,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"finishhim_recipe","value":1,"chance":0,"chanceX":15,"isOnetime":true},{"kind":"group","rewardType":"ItemBag","itemType":"Booster","value":1,"chance":0,"chanceX":15,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"gacha_pack2","value":1,"chance":9,"isOnetime":true},{"kind":"specific","rewardType":"ItemBag","specificID":"character_recipe","value":1,"chance":6,"isOnetime":true}]	{     "type": "ItemBag",     "itemBagID": "gacha_box4",     "value": 1 }	
TRUE	gacha_pack1	Fashion Pack	A sachet of bugs costume. There is a skin for your champion inside! But that champion may not be yours right now. Let's collect it first!	gachabox	Sachet 	1	[{"kind":"group","rewardType":"Costume","costumeType":"Skin","rarity":"Common","value":1,"chance":70,"isOnetime":true,"isJackpot":false},{"kind":"group","rewardType":"Costume","costumeType":"Skin","rarity":"Uncommon","value":1,"chance":28,"isOnetime":true,"isJackpot":false},{"kind":"group","rewardType":"Costume","costumeType":"Skin","rarity":"Rare","value":1,"chance":2,"isOnetime":true,"isJackpot":true}]	{     "type": "ItemBag",     "itemBagID": "gacha_pack1",     "value": 1 }	
TRUE	gacha_pack2	High-Fashion Pack	A high-level sachet of bugs costume. Let's open it and get a new skin for the champion. Believe in your destiny. It's time to show off a rare skin to friends!	gachabox	Sachet 	1	[{"kind":"group","rewardType":"Costume","costumeType":"Skin","rarity":"Uncommon","value":1,"chance":80,"isOnetime":true,"isJackpot":false},{"kind":"group","rewardType":"Costume","costumeType":"Skin","rarity":"Rare","value":1,"chance":20,"isOnetime":true,"isJackpot":true}]	{     "type": "ItemBag",     "itemBagID": "gacha_pack2",     "value": 1 }	
