isEnable	ItemID	ItemName	ItemType	ReferenceID	Rarity	Price	Currency
TRUE	item_1	item_1	Ability	ability_1	Common	0	Gold
TRUE	item_2	item_2	Ability	ability_2	Common	0	Gold
TRUE	item_3	item_3	Ability	ability_3	Common	0	Gold
TRUE	item_4	item_4	Ability	ability_4	Common	0	Gold
TRUE	item_5	item_5	Ability	ability_5	Common	0	Gold
TRUE	item_6	item_6	Ability	ability_6	Common	0	Gold
TRUE	item_7	item_7	Ability	ability_7	Common	0	Gold
TRUE	item_8	item_8	Ability	ability_8	Common	0	Gold
TRUE	item_9	item_9	Ability	ability_9	Common	0	Gold
TRUE	item_10	item_10	Ability	ability_10	Common	0	Gold
TRUE	item_11	item_11	Chest	ability_11	Common	0	Gold
TRUE	item_12	item_12	Chest	ability_12	Common	0	Gold
TRUE	item_13	item_13	Chest	ability_13	Common	0	Gold
TRUE	item_14	item_14	Material	ability_14	Common	0	Gold
TRUE	item_15	item_15	Material	ability_15	Common	0	Gold
