ID	Name	Description	Option
ActionData			
act_idle	Supply	Water bottle for every bug! Keep them hydrated and give energy charge.	
act_0	Machete	Ordinary knife for melee attack or destroy an obstacle. Handle with care and don’t cut yourself!	
act_10	Missile Gun	Tiny missile gun for long range attack, but be careful because your location is going to be revealed to other players.	
act_13	Lightning Control	Lightning remote controller. Make a lightning strikes anywhere you want. No one will know where it comes from, how awesome!	
act_12	Grenade	This hand grenade will cause widespread damage in the area you select. Don’t throw it close to your block.	
act_16	RKG-3	A bottle? Nope, it's a bomb! You can throw it really far and cause widespread damage randomly.	
act_15	Airstrike	Drop bombs anywhere you want and cause widespread damage to your enemies. So don’t drop those bombs on yourself!	
act_2	Bugs Scanner	Scan any area to see if there any bug wondering around there. No one would know who use this item!	
act_1	Baseball Bat	Looking for trouble? Swing this baseball bat around to hit everyone around you.	
act_9	Landmine	Place it anywhere in the arena and casually wait for someone to step on it. The explosion is going to be beautiful!	
act_4	Apple	You’ll feel like you’ve been born again after a bite of this delicious apple and gain a Life Point! 	
act_3	Turbo Jump	The most popular energy drink among the bugs. Drink up and jump further!	
act_6	Shield	This strong shield will protect you from any attack. But be wise, you can only use it once.	
act_14	Boomerang	Throw this badass boomerang to enemies within its reaching range. Your enemies might know your location.	
act_11	Molotov Cocktail	Powerful bottle bomb! Throw in on to the ground, and the fire will burn the block for a period of time. Don’t foolishly walk into the fire!	
act_17	Bugs Tracker	Know every movement of the players nearby for a couple of turns by using this item.	
act_18	Beer	Throw it to your enemies, they’ll get drunk and can’t walk properly!	
act_19	Scarecrow	Place it on the block, use it as a decoy to trick other bugs! Scarecrow’s location will be revealed if attacked.	
act_20	Honey 	Increase Energy Charge after your turn every time until the sweetness got watched away or someone attacks you.	
act_21	Whirlwind Vacuum	Use this before you gonna get hit. When an enemy attacks you with a specific target weapon, Vacuum will add the weapon that hurts you!	
act_22	Spring Trap	This trap will bounce the bug that steps on it to anywhere in the arena!	
act_23	Wooden Cage	Set wooden cage on a block and wait for someone to get trap inside there for a couple of turns.	
act_24	Sweet Candy	The miraculous lollipop of bugs! Recycle it to get a lot of energy!	
act_25	Wing	If this place is not worth living. Then use this magical wing to randomly go somewhere else!	
act_26	TNT	TNT barrel, a very very dangerous weapon. Try to place and trigger it to explode... Use it carefully!	
act_5	Shovel	Ordinary shovel, but work fine. Use it to dig for destroying a block around you. May help you hinder enemy plans!	
act_29	Smoke	Create a large smoke curtain. Anyone who has been in the area, will not be able to use an Action.	
act_mike_0	{@ab_mike_0}	{d@ab_mike_0}	
act_mike_1	{@ab_mike_1}	{d@ab_mike_1}	
act_mike_2	{@ab_mike_2}	{d@ab_mike_2}	
act_jam_0	{@ab_jam_0}	{d@ab_jam_0}	
act_jam_1	{@ab_jam_1}	{d@ab_jam_1}	
act_jam_2	{@ab_jam_2}	{d@ab_jam_2}	
act_yip_0	{@ab_yip_0}	{d@ab_yip_0}	
act_yip_1	{@ab_yip_1}	{d@ab_yip_1}	
ab_yip_4	{@ab_yip_4}	{d@ab_yip_4}	
act_rock_0	{@ab_rock_0}	{d@ab_rock_0}	
act_rock_1	{@ab_rock_1}	{d@ab_rock_1}	
act_rock_2	{@ab_rock_2}	{d@ab_rock_2}	
act_spood_0	{@ab_spo_0}	{d@ab_spo_0}	
act_spood_1	{@ab_spo_1}	{d@ab_spo_1}	
act_spood_2	{@ab_spo_2}	{d@ab_spo_2}	
act_kirov_0	{@ab_kirov_0}	{d@ab_kirov_0}	
act_kirov_1	{@ab_kirov_1}	{d@ab_kirov_1}	
act_kirov_3	{@ab_kirov_3}	{d@ab_kirov_3}	
act_kirov_4	{@ab_kirov_4}	{d@ab_kirov_4}	
act_jzi_0	{@ab_jzi_0}	{d@ab_jzi_0}	
act_jzi_1	{@ab_jzi_1}	{d@ab_jzi_1}	
act_jzi_2	{@ab_jzi_2}	{d@ab_jzi_2}	
act_wp_0	{@ab_wp_0}	{d@ab_wp_0}	
act_wp_1	{@ab_wp_1}	{d@ab_wp_1}	
act_wp_2	{@ab_wp_2}	{d@ab_wp_2}	
			
			
			
			
CharacterData			
cha_0	Yippo	A chubby caterpillar from the countryside. Always eager to prove himself, but he’s still too timid and clumsy. However, his clumsiness often leads him into unexpected situations. Everyone was surprised by this ordinary farm boy. [n][n] “Hi! I’m Yippo! I don’t sure how I end up here.”	
cha_1	Jamie	A generous military nurse. Gifted with healing skills that inherit from the Moth clan. Being hate to see violence, Jamie decided to join the competition and make sure no one has lost their life. However, with a twist of situation, she may have to put down her medkit and wield weapons instead! [n][n] “It’s only a game. So may we have a friendly competition!”	
cha_2	Mike	Former top tier EOD who spends his whole life with bombs. Despite his playfulness and easygoing manner, this ladybug is far more crazy than you think. Mike doesn’t expect things from the competition more than his own fun and prize. [n][n] “Wanna survive? Nothing! Just run into the field and make everything explode!”	
cha_3	Rockko	One of the high rank officers of The Savior. He’s not only gentle but also a powerful fighter. With his warrior instinct of the Beetle clan, Rockko devotes his life to protect the innocent bugs. He will show no mercy to anyone who disturb this peaceful town. [n][n] “Rockko, at your service!”	
cha_4	Spood	The genius middle aged inventor, who is ready to flood the arena with machines. It’s a rare occasion to see this spider steps outside his workshop. This time, Spood proudly presents his brand-new inventions to everyone! [n][n] “Alright! Applaud to my masterpiece that took me for 30 hours 8 minute and 3.25 seconds due 1 week.”	
cha_5	Kirov	The mysterious assassin, inside this nimble mantis’ shell is full of murderous aura. If you are the one on his list, don’t think to escape from his claw. Likewise, Although it’s just a competition, give up to hope he won’t be serious! [n][n] “No need to know me.”	
