ID	Name	Description	Option
ActionData			
act_idle	Supply	An ordinary water bottle! The content inside keeps the bugs hydrated and gives energy charges.	
act_0	Machete	An ordinary long knife for destroying an obstacle and melee attack. Handle with care and don’t cut yourself!	
act_10	Rocket Launcher	A tiny rocket launcher for a long range attack. Using it will reveal your location so be careful!	
act_13	Lightning Caller	A weather control device. It creates a thunder strike wherever you desired without revealing yourself. How cool!	
act_12	Hand Grenade	This dangerous hand grenade has moderate range. Its explosion deals damage in an area so use it wisely!	
act_16	RKG-3	It may looks like a bottle but it is actually a fragmentation grenade. Once exploded it sends a scattered damaging shrapnels towards nearby tiles.	
act_15	Airstrike	Call for an aerial bombardment upon your target. The explosion damages a surrounding area as well so avoid dropping one too close!	
act_2	Bugs Scanner	Scan an area to see who's there without revealing yourself. Its radiation effect also removes some buffs from affected bugs. Not sure why, but it is certainly safe to use!	
act_1	Baseball Bat	Looking for troubles? Swing this baseball bat to hit everyone around you and let them know!	
act_9	Landmine	Lay this landmine down and wait. Let someone step on it and BOOM! Beautiful explosion! Don't step on it yourself though.	
act_4	Apple	Take a bite of this heavenly, delicately, undescribably, lushly scrumpcious fruit for 1 Life Point.	
act_3	Turbo Drink	The most popular energy drink among bugkind. Drink it and you can jump further!	
act_6	Shield	This strong shield can protect you from the next damage you would take. Only once.	
act_14	Boomerang	Throw this cool-shaped boomerang to damage all enemy in its path. It might reveal your location but whatever.	
act_11	Molotov Cocktail	Powerful bottled napalm, once thrown, it spreads fire on the ground it touches. Watch your step and don't step into the flame yourself!	
act_17	Bugs Tracker	Go espionage and reveal surrounding bugs for a number of turns. 	
act_18	Beer	Throw this jug of alcoholic drink and splash it on an area. Bugs splashed will be drunk and move uncontrollably  in a random direction on their turns.	
act_19	Scarecrow	A ragged scarecrow that obtruct movement and reacts to weapons and scanner as if you are there. Use if as your decoy to sow a seed of confusion!	
act_20	Honey 	Consume this sweet substance to gain a buff that grants you energy charge on your turn. Its sweetness lasts for a while or until you takes damage.	
act_21	Vacuum Absorber	Turn this device on for a couple of turns. Any item aimed at you while this is on will be absorbed and placed into your inventory.	
act_22	Spring Trap	Place this odd trap down and wait. Let someone step on it to flung them into the air and land somewhere randomly.	
act_23	Wooden Cage	Place this wooden cage down and wait. Let someone walk into it and CLINK! The door will shut and lock, trapping them there for a couple turns.	
act_24	Sweet Candy	This lollipop is truly a wonder! Eat it to fully charge the champion energy, or recycle it to a lot of energy.	
act_25	Wings	When you no longer feels safe, use these wings and fly to somewhere else. Caution: this takes you to a random place in the arena.	
act_26	TNT	Place this dangerous explosive down and wait for an appropriate time to trigger it. It IS extremely dangerous, so be mindful when you use it!	
act_5	Shovel	A handy shovel. Simple but useful. Use it to dig a block nearby for an item, or to strategically ruin your enemies' plans.	
act_29	Smoke Bomb	Create a large curtain of thick smoke. All players in the area cannot use any items or abilities. This item has no effect on water areas.	
act_27	Shotgun	A powerful shotgun which fires a blast that spread horizontally. One could hardly survive if they were close enough to see the muzzle sparks.	
act_28	Cleansing Herb	Bitter medicinal herb that help the body expels all kind of strang influences. Removes all buffs and debuffs from the user.	
act_30	Hammer	This hammer might be a tad too heavy but definitely useful! Use to to smash at a nearby enemy, dealing damage and stunning them.	
Ability			
act_mike_0	{@ab_mike_0}	{d@ab_mike_0}	
act_mike_1	{@ab_mike_1}	{d@ab_mike_1}	
act_mike_5	{@ab_mike_5}	{d@ab_mike_5}	
act_jam_0	{@ab_jam_0}	{d@ab_jam_0}	
act_jam_1	{@ab_jam_1}	{d@ab_jam_1}	
act_jam_2	{@ab_jam_2}	{d@ab_jam_2}	
act_jam_3	{@ab_jam_3}	{d@ab_jam_3}	
