ID	Name	Description	Option
ActionData			
act_idle	กระติกน้ำ	กระติกน้ำพกติดตัว สำหรับผู้เข้าแข่งขันทุกคน ดื่มเพื่อเพิ่มเอเนอร์จี้ เก็บไว้ใช้ได้ตลอดเลยนะ!	
act_0	มีด	มีดธรรมดาๆ ใช้โจมตีเป้าหมายระยะประชิด หรือจะใช้เพื่อทำลายสิ่งกีดขวางก็ได้นะ ระวังโดนตัวเองด้วย!	
act_10	ปืนยิงจรวด	ปืนยิงขีปนาวุธขนาดจิ๋ว ใช้โจมตีเป้าหมายได้ไกลพอสมควร แต่ระวังหน่อยนะยิงออกไปอาจมีใครเห็น	
act_13	รีโมตสายฟ้า	รีโมทควบคุมสายฟ้า อยากให้ฟ้าผ่าลงตรงไหนก็สั่งได้ดังใจ แถมไม่มีใครรู้ว่าเราอยู่ตรงไหน สุดยอดไปเลย!	
act_12	ระเบิดมือ	ระเบิดมือ สร้างความเสียหายกระจายเป็นวงกว้างจากจุดที่เลือก อย่าปาใกล้ตัวเองเกินไปล่ะ	
act_16	RKG-3	อาจดูเหมือนขวดแต่มันคือระเบิด! ปาได้ไกลสุดๆ สร้างความเสียหายกระจายแบบสุ่มตรงบริเวณที่เลือก อย่าปาใกล้ตัวเองเกินไปล่ะ	
act_15	แอร์สไตรค์	การโจมตีทางอากาศสุดเจ๋ง จะปล่อยระเบิดลงตรงไหนก็ได้ สร้างความเสียหายกระจายเป็นวงกว้าง แถมไม่เปิดเผยตำแหน่งผู้ใช้ แต่ระวังโดนตัวเองด้วยนะ 	
act_2	เครื่องสแกน	ใช้แสกนหาว่าในบริเวณที่เลือกมีใครอยู่ไหม โดยที่ไม่เปิดเผยตัวของผู้ใช้	
act_1	ไม้เบสบอล	ไม้เบสบอลจอมหาเรื่อง ใช้หมุนเพื่อโจมตีเป้าหมายรอบตัว ใครอยู่ใกล้ๆก็โดนหมด	
act_9	กับระเบิด	ใช้วางเป็นกับดัก ไม่มีใครรู้นอกจากคนวาง ใช่สิเพราะนี่คือกับดัก เฝ้ารอให้ใครสักคนมาเหยียบแล้วก็ บูมมมม!	
act_4	แอปเปิ้ล	แอปเปิ้ลแสนอร่อย กินแล้วเหมือนเกิดใหม่ แต่จริงๆ ก็ไม่ขนาดนั้น ช่วยฟื้นฟูพลังชีวิตทันที 1 หน่วย	
act_3	เทอร์โบจั๊ม	เครื่องดื่มชูกำลังยอดฮิตของเหล่าแมลง ดื่มแล้วดีดเด้ง กระโดดได้ไกลขึ้น ไม่ธรรมดาเลย	
act_6	โล่	โล่สุดแข็งแกร่ง ใช้ป้องกันความเสียหายจากการโจมตีทุกรูปแบบ แต่ระวังหน่อยมันป้องกันได้แค่ครั้งเดียวนะ	
act_14	บูมเมอแรง	บูมเมอแรงสุดโหด ขว้างไปเพื่อโจมตีศัตรูทั้งหมดที่อยู่ในระยะที่ขว้างไป อาจถูกคาดเดาตำแหน่งได้ แต่ก็ไม่เป็นไรหรอกมั้ง	
act_11	ระเบิดขวด	ระเบิดขวดทรงพลัง ขว้างลงบนพื้นเป็นกองไฟแผดเผา ทิ้งไว้นานประมาณนึง อย่าเผลอเดินเข้าไปในกองไฟเองล่ะ!	
act_17	อุปกรณ์ติดตาม	ใช้เพื่อติดตามตัวคนที่อยู่ไม่ไกลเกินไป รู้ตำแหน่งของศัตรูทุกการเคลื่อนไหว เป็นระยะเวลาหนึ่ง	
act_18	เบียร์	เครื่องดื่มมึนเมา ใช้โยนใส่เป้าหมายกระจายเป็นวงกว้าง ทำให้เมา ไม่สามารถควบคุมทิศทางเดินได้	
act_19	หุ่นไล่กา	หุ่นไล่กาสุดน่ารัก ใช้เป็นตัวหลอก เมื่อถูกโจมตีจะเปิดเผยตำแหน่งเหมือนว่ามีใครอยู่ตรงนั้น สร้างความสับสนได้เป็นอย่างดี	
act_20	น้ำผึ้ง	น้ำผึ้งอันหอมหวาน กินแล้วช่วยเพิ่มเอเนอร์จี้ให้ทุกครั้งที่จบเทิร์นตัวเอง จนกว่าความหวานจะหายไป หรือจนกว่าโดนโจมตี	
act_21	เครื่องดูดลมหมุน	เครื่องดูดลมหมุน เมื่อโดนโจมตีด้วยไอเท็มประเภทเจาะจงเป้าหมาย จะดูดไอเท็มนั้น เข้ามายังกระเป๋า	
act_22	แท่นดีดสปริง	กับดักสปริง ใครเผลอมาเหยียบเข้า จะโดนดีดไปลงที่ตรงไหน ก็ลุ้นเอาเองละกัน	
act_23	กรงไม้	กับดักกรงไม้ ติดตั้งเอาไว้ และรอให้ใครสักคนมาติดกับ! ล็อคเหยื่อไม่ให้ไปไหนได้เป็นระยะเวลาหนึ่ง	
act_24	ลูกอมหวานฉ่ำ	ลูกอมแสนมหัศจรรย์!  ใช้เพื่อฟื้นฟูเอเนอร์จี้เต็มหลอก หรือจะรีไซเคิลเพื่อเป็นเอเนอร์จี้จำนวนมากก็ได้	
act_25	ปีกแมลง	หากที่ตรงนี้มันไม่น่าอยู่ ก็ใช้ปีกแสนวิเศษนี้สุ่มไปอยู่ตรงอื่นกันเถอะ	
