isEnable	ID	Property	ExampleType	ExampleUrl
FALSE	ActionItem			
TRUE	act_idle	Supply	movie	ActionItems/act_idle
TRUE	act_0	Machete	movie	ActionItems/act_0
TRUE	act_5	Shovel	movie	ActionItems/act_5
TRUE	act_10	Missile Gun	movie	ActionItems/act_10
TRUE	act_13	Lightning Control	movie	ActionItems/act_13
TRUE	act_12	Grenade	movie	ActionItems/act_12
TRUE	act_16	RKG-3	movie	ActionItems/act_16
TRUE	act_15	Airstrike	movie	ActionItems/act_15
TRUE	act_2	Bugs Scanner	movie	ActionItems/act_2
TRUE	act_1	Baseball Bat	movie	ActionItems/act_1
TRUE	act_9	Landmine	movie	ActionItems/act_9
TRUE	act_4	Apple	movie	ActionItems/act_4
TRUE	act_3	Turbo Jump	movie	ActionItems/act_3
TRUE	act_6	Shield	movie	ActionItems/act_6
TRUE	act_14	Boomerang	movie	ActionItems/act_14
TRUE	act_11	Molotov Cocktail	movie	ActionItems/act_11
TRUE	act_17	Bugs Tracker	movie	ActionItems/act_17
TRUE	act_18	Beer	movie	ActionItems/act_18
TRUE	act_19	Scarecrow	movie	ActionItems/act_19
TRUE	act_20	Honey 	movie	ActionItems/act_20
TRUE	act_21	Whirlwind Vacuum	movie	ActionItems/act_21
TRUE	act_22	Spring Trap	movie	ActionItems/act_22
TRUE	act_23	Wooden Cage	movie	ActionItems/act_23
TRUE	act_24	Sweet Candy	movie	ActionItems/act_24
TRUE	act_25	Wing	movie	ActionItems/act_25
TRUE	act_26	TNT	movie	ActionItems/act_26
TRUE	act_27	Shotgun	movie	ActionItems/act_27
TRUE	act_28	Dispell 	movie	ActionItems/act_28
TRUE	act_29	Smoke Bomb	movie	ActionItems/act_29
TRUE	act_30	Hammer	movie	ActionItems/act_30
TRUE	act_mike_0		movie	Abilities/Mike/Dynamike
TRUE	act_mike_1		movie	Abilities/Mike/BugBomber
TRUE	act_mike_5		movie	Abilities/Mike/Kamikaze
TRUE	act_jam_0		movie	Abilities/Jamie/Heal
TRUE	act_jam_1		movie	Abilities/Jamie/SilentPowder
TRUE	act_jam_2		movie	Abilities/Jamie/Blessing
TRUE	act_jam_3		movie	Abilities/Jamie/EMP
TRUE	act_jam_4		movie	Abilities/Jamie/Sanctuary
TRUE	act_jam_5		movie	Abilities/Jamie/PerfectArmor
TRUE	act_yip_0		movie	Abilities/Yippo/Oneshot
TRUE	act_yip_1		movie	Abilities/Yippo/LeaveShield
TRUE	act_yip_3		movie	Abilities/Yippo/MushroomBomb
TRUE	act_rock_0		movie	Abilities/Rockko/Ground
TRUE	act_rock_1		movie	Abilities/Rockko/Dash
TRUE	act_rock_5		movie	Abilities/Rockko/Stomp
TRUE	act_spood_0		movie	Abilities/Spood/Terret
TRUE	act_spood_1		movie	Abilities/Spood/Web
TRUE	act_spood_2		movie	Abilities/Spood/Spiderbot
TRUE	act_kirov_0		movie	Abilities/Kirov/Pounce
TRUE	act_kirov_1		movie	Abilities/Kirov/Hunter
TRUE	act_kirov_3		movie	Abilities/Kirov/FuriousStrike
TRUE	act_kirov_4		movie	Abilities/Kirov/Boomerang
TRUE	act_jzi_0		movie	Abilities/Jezzika/Lifeleech
TRUE	act_jzi_1		movie	Abilities/Jezzika/DemonWard
TRUE	act_jzi_2		movie	Abilities/Jezzika/Thieve
TRUE	act_jzi_4		movie	Abilities/Jezzika/VoodooDoll
TRUE	act_wp_0		movie	Abilities/Wespe/Dagger
TRUE	act_wp_1		movie	Abilities/Wespe/Stinger
TRUE	act_wp_2		movie	Abilities/Wespe/Counter
TRUE	act_wp_5		movie	Abilities/Wespe/Fly
FALSE				
FALSE	Environment			
TRUE	env_0	Unmove	texture	Environments/Sapling
TRUE	env_1	Unmove	texture	Environments/Rock
TRUE	env_2	Unmove	texture	Environments/Log
TRUE	env_3	Hide	texture	Environments/Grass
TRUE	env_4	Hide,NotMovement	texture	Environments/Bush
TRUE	env_5	Show	texture	Environments/Ramp
TRUE	env_6	Def,NotMovement	texture	Environments/Pepsi
TRUE	env_7	Def,Hide,NotMovement	texture	Environments/Tree1
TRUE	env_8	Def,Hide,NotMovement	texture	Environments/Tree2
TRUE	env_9	Show	texture	Environments/Bridge
TRUE	env_10	Warning	texture	Environments/Flytrap
TRUE	env_11	Warning	texture	Environments/Oil
TRUE	env_12	Reward	texture	Environments/Whatbox
TRUE	env_flag_0	Flag	texture	Environments/Flag
TRUE	env_act_0	Warning	texture	Environments/Landmine
TRUE	env_act_1	Warning	texture	Environments/Fire
TRUE	env_act_2	Warning	texture	Environments/Bugbomber
TRUE	env_act_3	Unmove	texture	Environments/Scare
TRUE	env_act_4	Warning	texture	Environments/Spring
TRUE	env_act_5	Warning	texture	Environments/Woodencage
TRUE	env_act_6	Warning	texture	Environments/Turret
TRUE	env_act_7	Warning,Show	texture	Environments/Web
TRUE	env_act_8	Warning	texture	Environments/Smoke
TRUE	env_act_9	Warning	texture	Environments/tnt
TRUE	env_act_10	Warning	texture	Environments/Demon
TRUE	env_air_0	Reward	texture	Environments/Airdrop
TRUE	env_gact_0	Hp	texture	Environments/Sunflower
TRUE	env_gact_1	Energy	texture	Environments/Moonflower
TRUE	env_fest_0	Reward	texture	Environments/Pumpkin
FALSE			none	
FALSE	Block			
FALSE	block_0		none	
TRUE	block_1	Hide	texture	Environments/Grassblock
TRUE	block_2	Show	texture	Environments/Sandblock
TRUE	block_3	Quicksand,Warning	texture	Environments/Quicksand
TRUE	block_4	Water,NotMovement	texture	Environments/Water
TRUE	block_5	Show	texture	Environments/Rockground
FALSE	block_6		texture	
TRUE	block_7	Show	texture	Environments/Lawn
FALSE				
FALSE	Game Activity			
TRUE	gact_0		movie	Activities/DeadArea
TRUE	gact_1		movie	Activities/AirDrop
TRUE	gact_2		movie	Activities/Sunflower
TRUE	gact_3		movie	Activities/Moonflower
TRUE	gact_4		movie	Activities/FlagTransfer
TRUE	gact_5		movie	Activities/CannonBomb
TRUE	gact_6		movie	Activities/Earthquake
TRUE	gact_7		movie	Activities/Rainy
TRUE	gact_8		none	
TRUE	gact_9		none	
TRUE	gact_10		none	
FALSE	Loading Tips			
TRUE	tips_0	6	texture	LoadingTips/Tips_Blessing
TRUE	tips_1	0	texture	LoadingTips/Tips_BlockDetail
TRUE	tips_2	5	texture	LoadingTips/Tips_Flag
TRUE	tips_3	0	texture	LoadingTips/Tips_GameAc
TRUE	tips_4	0	texture	LoadingTips/Tips_RampageChangeToGift
TRUE	tips_5	0	texture	LoadingTips/Tips_RampageGet
TRUE	tips_6	0	texture	LoadingTips/Tips_Recycle
TRUE	tips_7	0	texture	LoadingTips/Tips_Narrative01
TRUE	tips_8	0	texture	LoadingTips/Tips_Narrative02
TRUE	tips_9	0	texture	LoadingTips/Tips_Narrative03
TRUE	tips_10	0	texture	LoadingTips/Tips_Narrative04
TRUE	tips_11	0	texture	LoadingTips/Tips_Narrative05
FALSE	tips_12	0	texture	LoadingTips/Tips_Narrative06
TRUE	tips_13	0	texture	LoadingTips/Tips_Narrative07
TRUE	tips_14	0	texture	LoadingTips/Tips_Blacklist
FALSE	Tooltips			
TRUE	tooltips_coin	tooltips_normal	texture	Tooltips/Coin
TRUE	tooltips_gem	tooltips_big	texture	Tooltips/Gem
TRUE	tooltips_leafpoint	tooltips_normal	texture	Tooltips/LeafPoint
TRUE	tooltips_exp	tooltips_normal	texture	Tooltips/PlayerExp
TRUE	tooltips_characterexp	tooltips_normal	texture	Tooltips/CharExp
TRUE	tooltips_jigsaw	tooltips_normal	texture	Tooltips/Jigsaw
TRUE	tooltips_blessing	tooltips_big	texture	Tooltips/Blessing
TRUE	tooltips_casual	tooltips_big	texture	Tooltips/Casual
TRUE	tooltips_compete	tooltips_big	texture	Tooltips/Compete
TRUE	tooltips_practice	tooltips_big_center	texture	Tooltips/Practice
TRUE	tooltips_favorite	tooltips_big_center	texture	Tooltips/Fave
TRUE	tooltips_material	tooltips_normal	texture	Tooltips/Mat
TRUE	tooltips_material_gift	tooltips_normal	texture	Tooltips/RampCoin
TRUE	tooltips_material_flag	tooltips_normal	texture	Tooltips/Flag
TRUE	tooltips_material_sachet	tooltips_normal	texture	Tooltips/SachetShard
TRUE	tooltips_material_charecipe	tooltips_normal	texture	Tooltips/Letter
TRUE	tooltips_material_halloween	tooltips_normal	texture	Tooltips/HalloweenCoin
TRUE	tooltips_material_festival	tooltips_normal	texture	Tooltips/Festive
