isEnable	MapID	Name	Description	FeatureBlocks	FeatureEnvironments	isDefaultMaps	isDisplayOnPage
TRUE	training	Training Ground				FALSE	FALSE
TRUE	freestyle	Free Style		block_1	env_0	TRUE	TRUE
TRUE	break	Break 			env_6	TRUE	TRUE
TRUE	2sides	2 Sides			env_9	TRUE	TRUE
TRUE	desert	Sandy Floor		block_3,block_2		FALSE	TRUE
TRUE	swamp	Swamp		block_4	env_10,env_5	FALSE	TRUE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
FALSE						FALSE	FALSE
