isEnable	MapID	Name	Description	Background	FeatureBlocks	FeatureEnvironments	LevelUnlock	isDefaultMaps	isDisplayOnPage	Acquirement
TRUE	training2	Training Ground		Background - YippoHome			0	FALSE	FALSE	Free
TRUE	random	Random		Background - YippoHome			0	FALSE	TRUE	Free
TRUE	duel_freestyle	Playground	Duel	Background - LogStadium			0	TRUE	TRUE	Free
TRUE	freestyle	Greensward		Background - LogStadium	block_1	env_0	0	TRUE	TRUE	Free
TRUE	greenfield	Green Field 1	Duel	Background - YippoHome			0	FALSE	TRUE	Free
TRUE	greener_gardens	Green Field 2	Duel	Background - YippoHome			0	FALSE	TRUE	Free
TRUE	classic_survival	Green Field 3	Duel	Background - YippoHome			5	FALSE	TRUE	Free
TRUE	duel_water	Green Field 4	Duel	Background - YippoHome			5	FALSE	TRUE	Free
TRUE	x-cross	Green Field 5	Duel	Background - YippoHome			5	FALSE	TRUE	Free
TRUE	driftwood	Green Field 1		Background - YippoHomeLarge			2	FALSE	TRUE	Free
TRUE	summer	Green Field 2		Background - YippoHomeLarge			2	FALSE	TRUE	Free
TRUE	woodland	Green Field 3		Background - YippoHomeLarge			5	FALSE	TRUE	Free
TRUE	2sides	Green Field 4		Background - YippoHomeLarge		env_9	5	FALSE	TRUE	Free
TRUE	break	Green Field 5		Background - YippoHome		env_6	5	FALSE	TRUE	Free
TRUE	jungle	Green Field 6		Background - YippoHomeLarge			10	FALSE	TRUE	Free
TRUE	swamp	Green Field 7		Background - YippoHomeLarge	block_4	env_10,env_5	10	FALSE	TRUE	Free
TRUE	duel_sand	DynaMike Crater	Duel	Background - Mikehome			7	FALSE	TRUE	Free
TRUE	desert	DynaMike Crater 2		Background - Mikehome	block_3,block_2		7	FALSE	TRUE	Free
TRUE	orchid	DynaMike Crater 3		Background - Mikehome			10	FALSE	TRUE	Free
TRUE	battlecry	DynaMike Crater 4		Background - Mikehome			10	FALSE	TRUE	Free
