RampageID	Name	Description	RampageType	Point	isGrand	isEnable
rp_0	Hit	One damage in one turn	Hit_1	500	FALSE	TRUE
rp_1	Double Hits	Double damage in one turn	Hit_2	3000	TRUE	TRUE
rp_2	Triple Hits	Triple damage in one turn	Hit_3	5000	TRUE	TRUE
rp_3	Killing Spree	Knock enemy out	Kill	2000	TRUE	TRUE
rp_4	Flag	Collect flag(s)	Flag	3000	FALSE	TRUE
rp_5	Bullseye	Spot the enemy	Guide	100	FALSE	TRUE
rp_6	Taunt	Successfully taunt	Taunt	1000	FALSE	TRUE
rp_7	Bet	Correctly guess if the taunt will be successful or not	None	200	FALSE	TRUE
rp_8	Win	The last bug standing!	Win	5000	FALSE	TRUE
rp_9	Endgame	Now you see who’s the winner of this match	PlayEnd	1000	FALSE	TRUE
rp_10	Lose	It’s okay. You lose, but you will live	Lose	2000	FALSE	TRUE
rp_11	Airdrop	Risking your life for the airdrop	Airdrop	500	FALSE	TRUE
rp_12	Merge	Make your item better than ever	MergeItem	300	FALSE	TRUE
rp_13	Trap	Strategically placing a trap	Trap	600	FALSE	TRUE
rp_14	Destroy	Destroy obstacle in arena	DestoryEnvironment	50	FALSE	TRUE
rp_15	Hiding	Remain hidden the whole match	HidingAllTime	5000	FALSE	TRUE
rp_16	Healthy	Didn’t lose health the whole match	PerfectSurvivor	5000	FALSE	TRUE
rp_17	Bonus	Collect the bonus item at the edge of the arena	Rune	300	FALSE	TRUE
rp_18	Grab	Destroy the block that has an enemy's bonus item	Steal	1000	FALSE	TRUE
rp_19	FirstBlood	First Blood	FirstBlood	1500	TRUE	TRUE
rp_20	Immortal	Kill them all!	KillThemAll	5000	TRUE	TRUE
rp_21	Recycle	Recycle unused item	Recycle	50	FALSE	TRUE
rp_22	Collector	Get all on the way	Collector	200	FALSE	TRUE
rp_23	Scanner	Use the Bugs Scanner and found the eneny's position	Scanner	200	FALSE	TRUE
rp_24	Double Kills	Knock 2 enemies out in one turn	Kill_2	3000	TRUE	TRUE
rp_25	Triple Kills	Knock 3 enemies out in one turn	Kill_3	5000	TRUE	TRUE
