isEnable	LessonType	TutorialID	LanguageKey	Description	DialogStyle	DialogAnchor	FocusTargetID	FocusStyle	FixSequence	TimeWaiting	TimeNext	Formula	isNextByDialog	isMarkConsole	isCheckPoint
TRUE	intro	intro_00		-	none	none		none	intro_arena	0	0		FALSE	FALSE	FALSE
TRUE	intro	intro_01	tt_intro_welcome	Welcome to the Arena of Bugs. This is [[Yippo]], your champion. Tell him what to do!	longText	bottom		none	none	1	0		TRUE	FALSE	FALSE
TRUE	intro	intro_02	ttinfo_intro_win	Display Info: Ways to wins	infoGraphic	center		black	none	0.4	0	name:'Ways-Content',style:'basic'	TRUE	FALSE	FALSE
TRUE	intro	intro_03		-	none	none		none	intro_startfirstturn	0	2	action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_04	tt_intro_chapter1	What to do	objectives	center		black	objective_display	0.2	0	objective:'dig,hide'	FALSE	FALSE	FALSE
TRUE	intro	intro_05		Active Objective: Find Items	objectives	center		black	objective_active	0	0	objective:'dig'	TRUE	FALSE	FALSE
TRUE	intro	intro_06	ttinfo_intro_idle	Display Info: Supply and Shovel	infoGraphic	center		black	none	2	0	name:'Stay-Content',style:'content_idle'	TRUE	FALSE	FALSE
TRUE	intro	intro_07	tt_intro_shovel	Let's [[dig]] for an [[item]]. 	shortText	#(-190,206,0)	intro_shovel	none	intro_useitem	1.4	0	action:'act_5'	FALSE	FALSE	FALSE
TRUE	intro	intro_08		-	none	none	intro_dig	follow	intro_selecttarget	0.2	0	blockID:34	FALSE	TRUE	FALSE
TRUE	intro	intro_09		-	none	none	intro_confirm	none	intro_confirm	0.4	0	isMultiple:'true'	FALSE	TRUE	FALSE
TRUE	intro	intro_10		-	none	none		none	intro_endaction	0.2	1		FALSE	FALSE	FALSE
TRUE	intro	intro_11		Complete Objective: Stay HIdden	objectives	center		black	objective_complete	1.2	2	objective:'dig'	TRUE	FALSE	FALSE
TRUE	intro	intro_12		Active Objective:  Hide in Grass	objectives	center		black	objective_active	0	0	objective:'hide'	TRUE	FALSE	FALSE
TRUE	intro	intro_13	ttinfo_intro_hide	Display Info: Hide	infoGraphic	center		black	none	0.4	0	name:'Hide-Content',style:'content_hide'	TRUE	FALSE	FALSE
TRUE	intro	intro_14		-	none	none	intro_move	follow	intro_move	1	0	blockID:26	FALSE	TRUE	FALSE
TRUE	intro	intro_15		-	none	none	intro_confirm	none	intro_confirm	0.4	0	isMultiple:'true'	FALSE	TRUE	FALSE
